iter	Passed	Remaining
615	56127	107881
616	56210	107773
617	56300	107681
618	56396	107600
619	56504	107541
620	56591	107440
621	56682	107350
622	56760	107234
623	56846	107132
624	56939	107046
625	57023	106942
626	57110	106842
627	57195	106739
628	57284	106644
629	57366	106538
630	57450	106433
631	57541	106343
632	57633	106253
633	57715	106146
634	57798	106040
635	57896	105962
636	57982	105860
637	58071	105766
638	58154	105660
639	58243	105566
640	58326	105460
641	58415	105365
642	58503	105269
643	58589	105169
644	58670	105061
645	58758	104964
646	58854	104883
647	58945	104792
648	59043	104713
649	59131	104617
650	59221	104523
651	59309	104428
652	59400	104337
653	59484	104235
654	59573	104140
655	59660	104042
656	59742	103935
657	59827	103833
658	59915	103737
659	59999	103635
660	60086	103537
661	60167	103430
662	60257	103338
663	60350	103249
664	60440	103158
665	60527	103059
666	60617	102967
667	60700	102863
668	60798	102784
669	60881	102680
670	60968	102583
671	61061	102496
672	61147	102396
673	61234	102299
674	61321	102203
675	61399	102090
676	61481	101984
677	61572	101893
678	61651	101784
679	61739	101689
680	61821	101583
681	61904	101479
682	61994	101387
683	62075	101280
684	62161	101183
685	62245	101080
686	62326	100974
687	62416	100883
688	62511	100798
689	62594	100696
690	62675	100589
691	62756	100482
692	62840	100382
693	62945	100314
694	63024	100204
695	63112	100109
696	63196	100008
697	63291	99924
698	63375	99823
699	63467	99734
700	63551	99633
701	63634	99530
702	63726	99441
703	63810	99341
704	63904	99255
705	63991	99159
706	64072	99054
707	64150	98943
708	64239	98850
709	64320	98745
710	64430	98684
711	64514	98584
712	64621	98519
713	64715	98432
714	64815	98356
715	64897	98253
716	64980	98150
717	65073	98064
718	65161	97968
719	65250	97876
720	65345	97791
721	65426	97686
722	65518	97598
723	65608	97506
724	65695	97410
725	65804	97346
726	65890	97250
727	65978	97155
728	66064	97057
729	66142	96949
730	66228	96851
731	66316	96757
732	66403	96661
733	66492	96567
734	66577	96469
735	66669	96381
736	66754	96281
737	66835	96178
738	66924	96084
739	67011	95988
740	67100	95896
741	67201	95820
742	67281	95715
743	67361	95609
744	67458	95529
745	67545	95433
746	67623	95324
747	67708	95226
748	67796	95132
749	67882	95035
750	67968	94938
751	68055	94843
752	68152	94761
753	68233	94658
754	68321	94564
755	68413	94475
756	68511	94395
757	68590	94289
758	68686	94206
759	68777	94116
760	68862	94018
761	68961	93939
762	69045	93839
763	69131	93743
764	69211	93638
765	69293	93537
766	69376	93436
767	69460	93337
768	69551	93247
769	69644	93161
770	69730	93064
771	69820	92973
772	69911	92884
773	70005	92798
774	70086	92694
775	70163	92587
776	70250	92491
777	70340	92401
778	70437	92318
779	70538	92243
780	70621	92142
781	70701	92037
782	70787	91942
783	70880	91855
784	70960	91751
785	71038	91645
786	71128	91554
787	71220	91466
788	71308	91371
789	71395	91278
790	71480	91180
791	71573	91093
792	71662	91001
793	71744	90900
794	71822	90795
795	71902	90690
796	71988	90594
797	72074	90500
798	72161	90404
799	72246	90307
800	72331	90211
801	72425	90125
802	72522	90043
803	72608	89947
804	72685	89840
805	72768	89741
806	72853	89645
807	72943	89554
808	73025	89454
809	73116	89364
